### Initial Prob Right
0.411	0.162	0.197	0.123	0.107
### Initial Prob Left
0.071	0.097	0.084	0.087	0.66
### Transition Prob Right
0.037	0.335	0.187	0.135	0.306
0.43	0.019	0.256	0.148	0.147
0.313	0.335	0.02	0.162	0.171
0.312	0.268	0.224	0.011	0.184
0.482	0.181	0.161	0.125	0.051
### Transition Prob Left
0.037	0.335	0.187	0.135	0.306
0.43	0.019	0.256	0.148	0.147
0.313	0.335	0.02	0.162	0.171
0.312	0.268	0.224	0.011	0.184
0.482	0.181	0.161	0.125	0.051
### Transition Prob 2nd Right
0.108	0.343	0.163	0.1	0.286
0.258	0.014	0.349	0.188	0.191
0.327	0.316	0.016	0.104	0.237
0.376	0.329	0.165	0.01	0.121
0.46	0.194	0.177	0.121	0.048
0.038	0.337	0.188	0.131	0.306
0.314	0.1	0.321	0.13	0.135
0.296	0.224	0.016	0.276	0.189
0.384	0.199	0.177	0.009	0.23
0.516	0.181	0.133	0.093	0.077
0.032	0.337	0.223	0.156	0.252
0.586	0.023	0.203	0.111	0.077
0.259	0.268	0.18	0.145	0.148
0.23	0.212	0.239	0.012	0.308
0.531	0.151	0.172	0.108	0.038
0.027	0.325	0.215	0.161	0.271
0.544	0.016	0.191	0.101	0.147
0.201	0.571	0.017	0.113	0.099
0.28	0.229	0.236	0.073	0.182
0.465	0.134	0.137	0.225	0.038
0.035	0.335	0.154	0.12	0.356
0.558	0.017	0.135	0.148	0.142
0.433	0.37	0.017	0.093	0.088
0.205	0.334	0.374	0.011	0.076
0.46	0.275	0.121	0.095	0.05
### Transition Prob 2nd Left
0.108	0.343	0.163	0.1	0.286
0.258	0.014	0.349	0.188	0.191
0.327	0.316	0.016	0.104	0.237
0.376	0.329	0.165	0.01	0.121
0.46	0.194	0.177	0.121	0.048
0.038	0.337	0.188	0.131	0.306
0.314	0.1	0.321	0.13	0.135
0.296	0.224	0.016	0.276	0.189
0.384	0.199	0.177	0.009	0.23
0.516	0.181	0.133	0.093	0.077
0.032	0.337	0.223	0.156	0.252
0.586	0.023	0.203	0.111	0.077
0.259	0.268	0.18	0.145	0.148
0.23	0.212	0.239	0.012	0.308
0.531	0.151	0.172	0.108	0.038
0.027	0.325	0.215	0.161	0.271
0.544	0.016	0.191	0.101	0.147
0.201	0.571	0.017	0.113	0.099
0.28	0.229	0.236	0.073	0.182
0.465	0.134	0.137	0.225	0.038
0.035	0.335	0.154	0.12	0.356
0.558	0.017	0.135	0.148	0.142
0.433	0.37	0.017	0.093	0.088
0.205	0.334	0.374	0.011	0.076
0.46	0.275	0.121	0.095	0.05
### Output Prob Right
1 1	0	0.002	0.001	0	0.002	0	0	0	0	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0	0.001	0	0	0.016	0	0	0.006	0	0.003	0.01	0.004	0.005	0.019	0.002	0.002	0.023	0.001	0.007	0.012	0.008	0.02	0.104	0.022	0.017	0.41	0.017	0.022	0.104	0.02	0.008	0.012	0.007	0.001	0.023	0.002	0.002	0.019	0.005	0.004	0.01	0.003	0	0.006	0	0	0.016	0	0	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0	0	0	0	0.002	0	0.001	0.002	0
1 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.001	0.001	0.001	0	0.001	0.003	0.002	0.001	0.005	0.009	0.002	0.021	0.03	0.013	0.023	0.056	0.04	0.208	0.069	0.045	0.132	0.081	0.031	0.108	0.049	0.01	0.031	0.01	0.003	0.004	0.003	0.001	0.001	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.001	0	0	0	0.001	0	0	0.004	0.001	0	0.007	0.013	0.001	0.044	0.025	0.003	0.017	0.028	0.013	0.033	0.043	0.025	0.196	0.068	0.033	0.141	0.049	0.022	0.097	0.028	0.021	0.026	0.021	0.009	0.006	0.007	0	0.005	0.001	0	0	0.001	0	0.001	0	0	0.002	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0
1 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.001	0	0	0.001	0	0	0	0	0.002	0	0	0	0.003	0	0.001	0.002	0.003	0.001	0.004	0.008	0	0.016	0.009	0.001	0.008	0.011	0.002	0.033	0.008	0.007	0.024	0.014	0.007	0.121	0.031	0.03	0.139	0.043	0.045	0.093	0.061	0.024	0.054	0.045	0.008	0.099	0.007	0.001	0.006	0.007	0.002	0.002	0.004	0	0.002	0.002	0	0.002	0.001	0	0	0	0	0	0	0	0.001	0	0	0.004	0.001
1 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.001	0	0.001	0.001	0	0.001	0.001	0	0	0.001	0	0.002	0.008	0.001	0.001	0.004	0.001	0.003	0.006	0.002	0.001	0.018	0.004	0.008	0.096	0.017	0.028	0.084	0.027	0.035	0.075	0.024	0.014	0.348	0.012	0.011	0.03	0.009	0.006	0.016	0.01	0.003	0.025	0.008	0.002	0.012	0.002	0.002	0.005	0.002	0.001	0.004	0.004	0	0.005	0	0.002	0.01	0.002
2 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.001	0.001	0.003	0.004	0.003	0.01	0.031	0.01	0.049	0.108	0.031	0.081	0.132	0.045	0.069	0.208	0.04	0.056	0.023	0.013	0.03	0.021	0.002	0.009	0.005	0.001	0.002	0.003	0.001	0	0.001	0.001	0.001	0	0	0.001	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2 2	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.001	0.001	0.001	0.011	0	0	0.004	0.001	0.002	0.001	0.001	0.001	0.004	0.001	0.012	0.02	0.006	0.009	0.016	0.007	0.014	0.031	0.014	0.009	0.656	0.009	0.014	0.031	0.014	0.007	0.016	0.009	0.006	0.02	0.012	0.001	0.004	0.001	0.001	0.001	0.002	0.001	0.004	0	0	0.011	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.001	0	0
2 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.001	0	0.001	0.002	0.001	0.039	0.029	0.084	0.105	0.353	0.092	0.09	0.088	0.06	0.014	0.019	0.01	0.002	0.002	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0.001	0.001	0.001	0.004	0.006	0.002	0.031	0.018	0.044	0.105	0.297	0.076	0.06	0.214	0.055	0.013	0.034	0.012	0.004	0.003	0.003	0.001	0.001	0.001	0	0.003	0.001	0.001	0	0	0.001	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0
2 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.001	0	0.001	0.004	0.001	0.004	0.006	0.002	0.024	0.012	0.01	0.038	0.223	0.017	0.055	0.255	0.032	0.063	0.078	0.042	0.037	0.021	0.008	0.002	0.019	0.002	0.002	0.004	0.001	0.002	0.003	0.002	0	0.006	0.004	0.001	0.005	0.001	0.002	0.002	0	0	0.001	0.001	0	0.001	0	0.001	0.003	0.001
